,0,1,2,3,4,5,6,7,8,9,10,11
0,2,2,4,1,1,2,2,1,7,1,4,2
1,4,7,4,1,1,4,3,6,1,5,2,2
2,4,2,4,1,1,2,3,6,3,5,2,2
3,3,6,8,1,1,2,3,1,1,1,2,1
4,2,2,4,1,1,2,2,1,7,1,4,2
5,2,5,4,1,1,2,2,1,7,1,4,2
6,4,5,4,1,1,2,3,6,3,1,4,2
7,2,5,4,1,1,2,5,3,6,1,2,3
8,4,5,4,1,1,1,5,6,6,1,4,3
9,4,1,7,2,1,2,4,1,6,2,6,2
10,2,5,1,1,1,2,3,6,3,1,4,2
11,4,1,7,2,1,2,4,1,6,2,6,2
12,6,5,4,1,1,2,3,3,7,1,2,2
13,4,5,2,1,1,1,2,1,3,3,4,2
14,1,5,6,1,3,5,1,1,1,2,4,2
15,1,5,6,2,3,5,1,1,1,2,4,2
16,1,6,8,1,1,3,4,6,3,2,6,3
17,4,5,2,1,2,2,3,6,1,4,4,2
18,2,5,1,2,1,1,2,1,6,1,4,4
19,4,6,3,1,2,2,3,6,4,4,4,1
20,1,6,3,1,1,4,3,6,6,1,4,1
21,4,3,2,1,1,4,3,1,7,5,2,2
22,4,3,6,1,1,1,2,6,1,2,4,2
23,1,1,1,1,1,1,3,6,1,1,4,2
24,2,3,1,1,1,4,2,6,2,5,2,1
25,6,3,1,1,1,2,5,3,6,1,4,2
26,4,3,6,1,1,1,5,6,3,5,4,2
27,4,3,6,1,1,1,2,6,1,2,4,2
28,2,2,4,1,1,2,2,1,2,1,4,2
29,4,5,4,1,1,1,5,6,6,5,2,1
30,2,2,1,1,1,2,4,3,6,1,2,2
31,2,2,4,1,1,4,2,6,2,1,6,1
32,4,5,1,1,1,2,1,6,1,5,2,2
33,2,5,1,3,1,3,4,4,2,1,4,1
34,6,6,6,1,1,2,2,3,6,1,4,2
35,4,5,4,2,1,1,5,1,2,1,4,1
36,4,5,1,1,1,1,5,1,2,5,6,1
37,4,3,2,1,1,2,2,6,3,5,2,3
38,6,4,1,1,3,1,5,2,7,1,2,4
39,2,1,7,2,1,2,4,1,6,2,6,2
