,0,1,2,3,4,5,6,7,8,9,10,11
0,1,1,1,1,1,1,4,3,5,4,2,5
1,3,3,1,1,1,2,2,3,2,1,6,5
2,3,3,1,1,1,3,2,3,4,1,6,5
3,5,5,4,1,1,3,2,3,2,4,6,6
4,1,1,1,1,1,1,4,3,5,4,2,5
5,1,1,1,1,1,3,4,3,5,4,2,5
6,3,8,1,1,1,3,2,3,4,4,2,5
7,1,1,1,1,1,3,1,2,1,4,6,7
8,3,8,1,1,1,1,1,3,1,4,2,7
9,3,4,2,2,1,3,5,3,1,3,3,5
10,1,8,1,1,1,3,2,3,4,4,2,5
11,3,4,2,2,1,3,5,3,1,3,3,5
12,6,8,1,1,1,3,2,2,5,4,6,5
13,3,8,3,1,1,1,1,3,4,2,2,5
14,7,8,3,1,3,4,3,1,2,3,2,5
15,7,8,3,2,3,4,3,1,2,3,2,5
16,7,5,4,1,1,4,5,3,4,3,3,7
17,3,8,3,1,2,3,2,3,2,5,2,5
18,1,8,1,2,1,1,1,3,1,4,2,4
19,3,5,2,1,2,3,2,3,6,5,2,6
20,7,5,2,1,1,2,2,3,1,4,2,6
21,3,2,3,1,1,2,2,1,5,1,6,5
22,3,2,3,1,1,1,4,3,2,3,2,5
23,7,4,1,1,1,1,2,3,2,4,2,5
24,1,2,1,1,1,3,4,3,1,1,6,6
25,6,2,3,1,1,1,1,2,4,4,2,5
26,3,2,3,1,1,1,1,3,4,4,2,5
27,3,2,3,1,1,1,4,3,2,3,2,5
28,1,1,1,1,1,3,4,3,5,4,2,5
29,3,1,1,1,1,1,1,3,1,4,6,6
30,1,1,1,1,1,3,5,3,1,4,6,5
31,1,1,1,1,1,2,4,3,1,4,3,6
32,3,1,1,1,1,3,3,3,2,1,6,5
33,1,8,1,3,1,4,5,1,1,4,2,6
34,6,5,3,1,1,3,4,3,1,4,2,5
35,3,1,1,2,1,1,1,1,1,4,2,6
36,3,8,1,1,1,1,1,3,1,1,5,6
37,3,2,3,1,1,3,4,3,2,1,6,7
38,6,7,1,1,3,1,1,2,5,4,6,4
39,1,4,2,2,1,3,5,3,4,3,3,5
40,1,4,2,2,1,3,5,3,4,3,3,5
41,7,8,3,1,1,3,4,3,4,4,2,4
42,3,4,3,1,2,1,1,3,2,3,3,6
43,3,1,3,1,1,1,1,3,4,5,3,5
44,1,1,1,1,1,1,1,3,5,4,2,5
45,6,4,1,1,1,1,2,2,3,4,4,4
