,0,1,2,3,4,5,6,7,8,9,10,11
0,1,1,4,1,1,1,3,1,2,1,4,5
1,4,3,4,1,1,4,5,3,6,5,2,5
2,4,3,4,1,1,1,5,3,1,5,2,5
3,2,5,8,1,1,1,5,1,6,1,2,6
4,1,1,4,1,1,1,3,1,2,1,4,5
5,1,1,4,1,1,1,3,1,2,1,4,5
6,4,8,4,1,1,1,5,3,1,1,4,5
7,1,1,4,1,1,1,1,2,5,1,2,7
8,4,8,4,1,1,3,1,3,5,1,4,7
9,1,4,7,2,1,1,2,1,5,2,7,5
10,1,8,2,1,1,1,5,3,1,1,4,5
11,1,4,7,2,1,1,2,1,5,2,7,5
12,6,8,4,1,1,1,5,2,4,1,2,5
13,4,8,3,1,1,3,1,1,1,3,4,5
14,3,8,6,1,3,5,6,6,6,2,4,5
15,3,8,6,2,3,5,6,6,6,2,4,5
16,4,5,8,1,1,2,2,3,1,2,7,7
17,4,8,3,1,2,1,5,3,6,4,4,5
18,1,8,2,2,1,3,1,1,5,1,4,4
19,4,5,1,1,2,1,5,3,3,4,4,6
20,3,5,1,1,1,4,5,3,5,1,4,6
21,4,2,3,1,1,4,5,1,2,5,2,5
22,4,2,6,1,1,3,3,3,6,2,4,5
23,4,4,2,1,1,3,5,3,6,1,4,5
24,1,2,2,1,1,4,3,3,5,5,2,6
25,6,2,2,1,1,1,1,2,5,1,4,5
26,4,2,6,1,1,3,1,3,1,1,4,5
27,4,2,6,1,1,3,3,3,6,2,4,5
28,1,1,4,1,1,1,3,1,2,1,4,5
29,4,1,4,1,1,3,1,3,5,1,2,6
30,1,1,2,1,1,1,2,3,5,1,7,5
31,1,1,4,1,1,4,3,3,2,1,5,6
32,4,1,2,1,1,1,6,3,6,5,2,5
33,1,8,2,3,1,2,2,6,2,1,4,6
34,6,5,6,1,1,1,3,2,5,1,4,5
35,4,1,4,2,1,3,1,6,5,1,4,6
36,4,8,2,1,1,3,1,1,5,1,5,6
37,4,2,3,1,1,1,3,3,1,5,2,7
38,6,7,2,1,3,3,1,5,2,1,2,4
39,1,4,7,2,1,1,2,1,5,2,7,5
40,1,4,7,2,1,1,2,1,5,2,7,5
41,3,8,3,1,1,1,3,1,1,1,4,4
42,1,4,6,1,2,3,1,3,6,2,7,6
43,4,1,6,1,1,3,1,3,1,4,7,5
44,1,1,4,1,1,3,1,3,2,1,4,5
45,6,4,2,1,1,3,5,5,4,1,6,4
46,4,7,7,1,1,4,6,3,1,5,4,5
47,3,5,8,1,1,1,3,3,1,1,4,5
48,6,2,6,1,1,3,1,3,5,1,4,5
49,6,5,7,1,1,1,2,2,1,1,4,5
50,3,1,6,1,1,3,1,1,6,5,4,5
51,1,4,4,1,1,3,1,2,5,5,4,6
52,1,4,4,1,1,3,1,2,5,5,4,6
53,3,2,7,1,1,2,6,3,6,1,4,5
54,4,4,2,1,1,2,5,2,6,5,7,6
55,4,8,4,1,1,4,3,1,5,1,4,5
56,5,2,8,1,1,3,1,1,3,5,4,5
57,1,8,2,2,1,5,2,1,1,2,4,5
58,4,8,6,1,1,1,5,1,5,1,2,5
59,1,2,3,1,1,3,3,3,5,1,4,6
60,3,2,7,1,1,1,5,1,2,5,4,5
61,4,1,1,1,1,4,2,3,6,5,4,5
62,1,4,2,1,1,1,3,3,5,5,4,7
63,1,1,4,1,1,1,5,3,5,1,2,5
64,1,1,4,2,1,3,1,3,5,1,5,5
65,1,1,4,2,1,3,1,3,5,1,5,5
66,1,4,2,1,1,1,3,3,5,1,4,5
67,1,1,2,1,1,3,1,3,2,1,5,5
68,3,5,8,1,1,4,5,3,1,2,5,5
69,4,1,4,1,1,3,1,3,5,2,7,6
70,4,8,2,1,1,1,1,3,1,1,4,6
71,4,1,6,1,1,1,2,3,1,1,4,5
72,4,1,6,1,1,1,2,3,1,1,4,5
73,4,1,6,1,1,1,3,1,1,1,4,4
