,thresholds,cluster_centers
0,0.301872851948,"[[ 0.21533923]
 [ 0.50002317]
 [ 0.38909403]
 [ 0.83570604]
 [ 0.29249785]
 [ 0.12166784]
 [ 0.6426201 ]]"
1,0.324301896733,"[[ 0.411455  ]
 [ 0.26109038]
 [ 0.10299658]
 [ 0.33407847]
 [ 0.53526268]
 [ 0.75684932]
 [ 0.18369029]]"
2,0.32806097561,"[[ 0.01833333]
 [ 0.39240437]
 [ 0.68013333]
 [ 0.22161404]
 [ 0.48004484]
 [ 0.10847162]
 [ 0.56270588]
 [ 0.30726368]]"
3,0.399488871469,"[[ 0.08862976]
 [ 0.31276796]
 [ 0.85242839]]"
4,0.393305603147,"[[ 0.11242782]
 [ 0.66740021]
 [ 0.29459355]]"
5,0.355722326454,"[[ 0.1971831 ]
 [ 0.33818126]
 [ 0.07816319]
 [ 0.47944283]
 [ 0.73082942]]"
6,0.385651920259,"[[ 0.12161887]
 [ 0.3134355 ]
 [ 0.04568843]
 [ 0.20457782]
 [ 0.98056537]
 [ 0.45072634]]"
7,0.22940487309,"[[ 0.46834104]
 [ 0.68341979]
 [ 0.3728398 ]
 [ 0.86959907]
 [ 0.22021656]
 [ 0.55908936]]"
8,0.247637056625,"[[ 0.34632582]
 [ 0.60543631]
 [ 0.50724746]
 [ 0.22869902]
 [ 0.43110718]
 [ 0.74416607]]"
9,0.361576659065,"[[ 0.19043879]
 [ 0.2927809 ]
 [ 0.11634443]
 [ 0.86976048]
 [ 0.47572712]]"
10,0.309947322846,"[[ 0.14791474]
 [ 0.50898829]
 [ 0.64227175]
 [ 0.23596452]
 [ 0.40391912]
 [ 0.81514042]
 [ 0.32141477]]"
11,0.212757973734,"[[ 0.4       ]
 [ 0.6       ]
 [ 0.81658986]
 [ 0.16825397]]"
