,thresholds,cluster_centers
0,0.301872851948,"[[ 0.21814159]
 [ 0.65119386]
 [ 0.39231899]
 [ 0.2998814 ]
 [ 0.50340708]
 [ 0.11625652]
 [ 0.84955752]]"
1,0.324301896733,"[[ 0.38528096]
 [ 0.18591681]
 [ 0.4753547 ]
 [ 0.25888377]
 [ 0.10670922]
 [ 0.81335616]
 [ 0.59340753]
 [ 0.32355947]]"
2,0.32806097561,"[[ 0.47674757]
 [ 0.10847162]
 [ 0.30985981]
 [ 0.01833333]
 [ 0.67934211]
 [ 0.22161404]
 [ 0.39564706]
 [ 0.5549505 ]]"
3,0.399488871469,"[[ 0.08862976]
 [ 0.31276796]
 [ 0.85242839]]"
4,0.393305603147,"[[ 0.11242782]
 [ 0.66740021]
 [ 0.29459355]]"
5,0.355722326454,"[[ 0.19315895]
 [ 0.47196998]
 [ 0.07816319]
 [ 0.3270034 ]
 [ 0.73082942]]"
6,0.385651920259,"[[ 0.04568843]
 [ 0.30963646]
 [ 0.12021412]
 [ 0.98056537]
 [ 0.20134987]
 [ 0.44522968]]"
7,0.22940487309,"[[ 0.55894266]
 [ 0.3728398 ]
 [ 0.46834104]
 [ 0.85475733]
 [ 0.22021656]
 [ 0.68054297]]"
8,0.247637056625,"[[ 0.42445623]
 [ 0.59394043]
 [ 0.22869902]
 [ 0.72462518]
 [ 0.50059652]
 [ 0.34248379]]"
9,0.361576659065,"[[ 0.12344605]
 [ 0.29514764]
 [ 0.86976048]
 [ 0.46677613]
 [ 0.20049436]]"
10,0.309947322846,"[[ 0.4786246 ]
 [ 0.22366942]
 [ 0.60064103]
 [ 0.14791474]
 [ 0.38022135]
 [ 0.73724942]
 [ 0.29491525]]"
11,1.06378986867,"[[ 7.08294931]
 [ 5.        ]
 [ 6.        ]
 [ 3.84126984]]"
